605	436
611	457
609	477
605	499
586	506
566	510
547	523
553	545
532	550
499	568
511	587
503	606
502	627
542	619
552	599
553	579
572	596
579	577
599	572
617	563
635	551
653	541
667	525
672	504
673	483
677	463
665	396
657	373
641	358
628	340
609	327
591	310
565	277
552	260
539	244
538	223
545	200
561	186
571	168
586	154
601	139
620	132
586	120
573	104
577	82
557	78
535	70
508	66
493	81
455	88
435	92
418	80
407	98
420	114
436	127
438	149
477	153
504	183
499	203
479	204
479	224
498	238
517	245
524	264
539	284
554	299
577	334
599	348
601	368
612	385
608	407
514	96
518	162
652	508
472	128
559	134
515	139
591	531
654	429
649	477
519	209
550	161
637	525
543	105
529	574
631	402
631	451
573	551
529	598
513	118
464	109
496	105
537	143
528	189
636	381
501	645
522	636
671	419
656	460
674	440
460	162
492	175
