120	646
120	59
970	60
970	159
370	159
370	297
887	297
887	396
370	396
370	646
120	610
120	537
120	463
120	390
120	317
120	244
120	134
120	97
156	60
230	60
267	60
304	60
378	60
452	60
489	60
563	60
600	60
674	60
711	60
748	60
822	60
859	60
896	60
933	60
970	109
933	159
895	159
858	159
820	159
745	159
708	159
670	159
633	159
595	159
558	159
483	159
408	159
370	205
370	251
406	297
443	297
480	297
517	297
591	297
628	297
665	297
702	297
776	297
850	297
851	396
814	396
777	396
703	396
629	396
555	396
518	396
481	396
444	396
407	396
370	479
370	521
370	604
245	646
689	113
246	450
217	369
495	108
223	122
323	259
238	574
367	347
250	303
832	108
793	105
260	356
595	103
275	238
678	349
522	332
198	328
303	111
332	161
155	96
159	524
799	358
188	479
308	305
469	361
159	341
189	284
252	395
250	91
266	195
161	575
236	484
186	218
876	101
314	544
641	124
300	478
156	401
355	118
292	408
318	344
334	203
193	411
554	124
635	347
166	132
254	522
265	128
290	155
435	107
921	107
425	364
199	560
751	355
724	103
530	97
229	234
179	607
715	333
152	190
336	489
398	123
273	563
764	127
206	446
160	436
321	381
229	270
162	260
221	609
660	93
190	97
307	443
401	336
290	515
153	304
447	332
151	480
241	156
555	362
611	350
262	428
235	431
213	383
626	353
604	323
649	319
802	329
239	410
259	464
269	496
180	644
253	602
248	210
212	205
250	252
123	184
239	329
121	552
690	60
648	61
531	297
203	245
119	509
