120,642
141,644
161,642
199,641
217,645
233,631
306,642
310,546
382,400
396,412
421,398
460,368
515,398
542,451
594,503
616,505
665,526
706,588
719,644
800,643
852,639
886,613
969,641
918,594
870,547
814,526
784,509
758,513
710,441
719,407
675,363
617,368
585,315
597,286
638,232
633,199
720,176
739,191
784,124
840,117
899,90
945,59
905,64
874,60
831,91
742,74
700,61
668,114
612,170
551,160
516,182
467,238
466,253
377,274
351,291
280,252
281,194
309,135
308,58
260,62
196,60
145,68
144,94
120,158
119,236
120,257
119,285
118,311
124,386
142,443
120,475
150,544
119,622
