120,646
136,644
152,646
184,646
215,646
247,646
279,646
310,646
310,610
310,574
310,539
310,503
310,468
341,448
372,429
404,409
434,390
464,371
486,394
508,417
529,440
555,468
572,486
599,493
599,514
616,532
637,555
659,578
689,589
702,624
723,646
759,646
794,638
829,646
865,646
900,646
970,646
946,623
929,607
899,578
876,556
837,517
815,520
805,489
782,467
749,451
735,422
712,399
688,377
665,355
650,340
618,310
607,279
650,252
662,228
677,235
701,210
732,200
759,182
766,160
787,165
814,147
841,130
869,112
896,95
950,60
918,60
886,60
854,60
822,60
790,60
758,60
726,60
694,60
666,79
639,98
611,121
584,135
556,153
529,172
503,188
474,209
462,218
447,228
419,246
364,283
310,255
310,222
310,190
306,156
310,125
310,92
310,60
280,60
246,60
215,60
163,64
120,59
120,93
120,126
119,142
120,158
127,190
120,223
120,256
119,265
120,288
122,319
120,353
119,400
120,419
120,451
123,480
120,516
120,549
120,581
120,614
