120,642
141,644
161,642
199,641
217,645
233,631
251,611
306,642
310,546
309,466
309,427
338,394
369,407
382,400
396,412
421,398
419,371
450,363
460,368
515,398
542,451
582,445
594,503
616,505
665,526
719,567
706,588
719,644
786,622
800,643
852,639
886,613
969,641
918,594
870,547
820,550
814,526
784,509
758,513
699,501
710,441
719,407
675,363
642,379
617,368
585,315
578,302
597,286
611,244
638,232
623,207
633,199
635,185
720,176
739,191
784,124
840,117
881,78
899,90
905,64
945,59
874,60
831,91
742,74
700,61
696,107
668,114
671,126
612,170
558,178
551,160
516,182
525,203
492,251
467,238
466,253
470,265
454,287
411,295
379,295
377,274
351,291
280,252
254,222
281,194
309,135
277,120
278,88
308,58
260,62
238,84
196,60
185,76
145,68
144,94
120,158
119,236
120,257
119,285
118,311
153,349
124,386
139,389
163,422
142,443
120,475
163,519
150,544
168,577
119,622
