129,616
163,635
238,640
287,630
297,600
300,548
299,506
310,468
369,418
398,384
464,371
506,396
546,422
577,480
623,520
669,565
694,597
756,641
822,627
851,640
936,644
891,589
842,529
818,511
794,485
766,466
736,434
701,396
659,360
625,329
636,250
677,227
707,206
764,172
805,143
832,127
881,93
924,76
868,81
800,79
735,71
698,65
635,111
598,125
548,163
503,194
479,217
440,241
396,272
304,235
294,192
294,152
294,95
251,67
220,75
132,73
131,127
134,182
143,254
132,290
140,337
131,382
129,462
129,508
127,562
