120,646
148,646
202,646
229,646
283,646
310,646
310,616
310,586
310,527
310,497
332,454
354,440
398,412
420,398
501,411
520,430
575,489
594,509
612,529
649,568
668,588
705,627
723,646
751,646
806,646
861,646
888,646
923,646
970,646
950,627
910,589
891,570
851,532
831,514
792,476
772,457
733,419
713,401
673,363
654,344
684,231
729,202
751,188
773,174
817,145
840,131
884,102
906,88
950,60
893,60
864,60
807,60
779,60
722,60
694,60
671,76
656,85
626,106
603,122
558,152
535,168
490,198
468,213
445,229
400,259
310,216
310,164
309,128
310,112
310,86
310,60
282,60
255,60
228,60
201,60
174,60
147,60
120,59
120,620
120,593
120,540
120,513
120,460
120,433
120,407
120,353
120,327
120,274
120,247
120,194
120,167
120,114
120,87
