396,611
408,622
440,621
461,614
495,623
532,642
546,633
568,627
588,634
602,627
619,619
665,617
675,629
672,603
688,565
712,544
713,529
684,507
671,492
647,468
646,447
667,407
678,394
709,379
728,370
748,373
757,359
761,341
747,333
738,299
744,279
736,249
719,209
723,188
717,169
701,153
694,138
688,124
658,108
612,126
572,112
541,107
527,90
510,79
493,79
460,70
450,83
466,109
461,150
436,163
401,162
392,175
398,211
383,239
384,254
374,278
338,297
346,333
338,346
328,358
340,386
335,428
345,471
356,484
361,499
392,502
409,557
402,591
