501,645
522,636
542,619
572,596
599,572
617,563
635,551
653,541
667,525
672,504
673,483
677,463
674,440
671,419
665,396
657,373
641,358
628,340
609,327
591,310
565,277
552,260
539,244
538,223
545,200
561,186
571,168
586,154
601,139
620,132
586,120
577,82
557,78
535,70
508,66
493,81
455,88
435,92
418,80
407,98
420,114
436,127
438,149
460,162
479,204
479,224
498,238
524,264
539,284
554,299
577,334
601,368
612,385
608,407
605,436
611,457
609,477
586,506
566,510
547,523
532,550
499,568
503,606
502,627
