120,646
148,646
204,646
259,646
315,646
343,646
370,646
370,590
369,541
370,507
370,479
370,451
425,396
470,395
507,396
534,396
588,396
621,394
670,396
697,396
724,396
766,396
806,396
833,396
860,396
887,396
887,363
887,330
887,297
859,297
832,297
805,297
778,297
696,297
669,297
642,297
587,297
560,297
533,297
478,297
451,297
370,241
370,186
449,159
475,159
501,159
527,159
579,159
610,158
657,159
684,159
736,159
795,158
840,159
895,159
918,159
944,159
970,159
970,93
970,60
943,60
879,61
848,60
810,60
784,60
757,60
730,60
664,66
598,60
571,60
518,60
491,60
465,60
424,67
359,60
332,60
279,60
226,60
173,60
146,60
120,59
120,87
120,114
120,140
120,194
120,220
120,274
120,353
120,407
120,487
120,540
120,593
